Dominant Topic,Topics,System,message
,,Realm,"Nh/fixing 3105 (#3306)

* Fixing issue with Cyclic dependency insert or the existing copyToRealm, adding support for managed RealmObject/"
,,Realm,"add default value instruction support (#3462)

* add default value support to Table class

* Table#isNull() and TableView#isNull()

* use default value feature

* added a test to check if nullified link can be overwritten by default value

* removed duplicate thread check when constructing proxy objects (and small bugfix in setter of the list).

* added thread check

* reflect review comments

* reflect comment in JNI code/"
,,Realm,"Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./"
,,Realm,Add methods to RealmQuery to support byte arrays (#3285)/
,,Realm,"Use createObject(class, primaryKey) in test (#3377)

Since Realm.createObject(class) will be deprecated on master for Classes
with primary key defined, fix the test cases which use it first to avoid
more conflicts when merging./"
,,Realm,Typed getters on DynamicRealmObject now throws a proper exception instead of creating a seg fault when called with a field name of the wrong type. (#3312)/
,,Realm,Fixed leaking unit tests./
,,Realm,Fix unstable test (#3495)/
,,Realm,"getFieldIndex returns null for non-existing field (#3295)

Close #3292/"
,,Realm,"Introduce global init (#3457)

Realm now uses a global init function instead of Context on the RealmConfiguration.Builder/Remove deprecated constructor + add directory() (#3357)

This commit simplifies the RealmConfiguration constructors and also ensures that we always have an Android context. 

It does so by now only having the`RealmConfiguration.Builder(context)` constructor. Custom file locations are now supported through the `directory()` builder method. This also made it possible to simply `assetFile(Context, location)` to only `assetFile(location)`.

Having the Context means that we are now able to access system services and other framework classes without exposing any Android functionality in any potential interface (which will be needed to support Realm on the JVM)./Wait all async tasks done before next test (#3319)

This is highly related with #1900.
Below things are still guaranteed by this change after commit async
transaction:
* When callback function called (onSuccess/onError), the background
  Realm is closed.
* When any change listeners called, the background Realm is closed.

What is true now but it is not guaranteed in the future:
* Background Realm might not be closed before REALM_CHANGED sent (not
  received).

Due to this, to avoid the flaky tests, we have to ensure all async tasks
quit peacefully before start the next test. This is implemented by wait
and check in the TestRealmConfigurationFactory.

NOTE: Any test, if the async tasks cannot be finished peacefully in a
certain time, it has to be considered as a problem and fixed.

This would be needed by OS notifications since Java won't have a precise
control of sending REALM_CHANGED anymore./"
,,Realm,"Add RealmFileException

to replace RealmIOException and IncompatibleLockFileException. Also it
is mapped to the same name exception in ObjectStore to give user a
detailed kind of file exception./Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./"
,,Realm,Logout and Userstore (#104)/
,,Realm,"Allow to specify default value of the field in model's constructor (#3397)

* Allow to call its accessors, and replace its field accesses with accessor calls in model's constructor.

fixes #777
fixes #2536

* use field instead of checking transaction

* fix a bug that acceptDefaultValue is not set correctly

* reject default values when the getter of a model creates other model object

* add simple test for default value

* supports default value of model field

* supports default value of RealmList fields

* add tests for assignment in constructor and setter in constructor

* update javadoc comments of createObject

* always ignores the default value of primary key if the object is managed

* update javadoc

* add a test for default values handling in copyToRealm(). the last assertion of RealmTests.copyToRealm_defaultValuesAreIgnored() is failing now.

* refactor tests

* use isPrimaryKey()

* fix a bug that unexpected realm object is created by default value of RealmModel/RealmList fields

* remove extra ';' from generated code

* add more tests for default value

* fix tests

* fix a bug that creates unexpected objects

* rename internal methods

* update changelog

* update CHANGELOG

* review comments

* update CHANGELOG

* added a description of how proxy object should be created in the Javadoc comment of RealmProcessor/Invalidate schema cache when the schema version of Realm is changed by other process (#3409).

invalidate schema cache when the schema version of Realm is changed by other process.

Now schema cache referred by Realm instance is not shared and global schema cache is introduced instead./Add RealmFileException

to replace RealmIOException and IncompatibleLockFileException. Also it
is mapped to the same name exception in ObjectStore to give user a
detailed kind of file exception./Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./"
,,Realm,"Allow to specify default value of the field in model's constructor (#3397)

* Allow to call its accessors, and replace its field accesses with accessor calls in model's constructor.

fixes #777
fixes #2536

* use field instead of checking transaction

* fix a bug that acceptDefaultValue is not set correctly

* reject default values when the getter of a model creates other model object

* add simple test for default value

* supports default value of model field

* supports default value of RealmList fields

* add tests for assignment in constructor and setter in constructor

* update javadoc comments of createObject

* always ignores the default value of primary key if the object is managed

* update javadoc

* add a test for default values handling in copyToRealm(). the last assertion of RealmTests.copyToRealm_defaultValuesAreIgnored() is failing now.

* refactor tests

* use isPrimaryKey()

* fix a bug that unexpected realm object is created by default value of RealmModel/RealmList fields

* remove extra ';' from generated code

* add more tests for default value

* fix tests

* fix a bug that creates unexpected objects

* rename internal methods

* update changelog

* update CHANGELOG

* review comments

* update CHANGELOG

* added a description of how proxy object should be created in the Javadoc comment of RealmProcessor/"
,,Realm,"Introduce global init (#3457)

Realm now uses a global init function instead of Context on the RealmConfiguration.Builder/"
,,Realm,"Disallow changing PK after object created (#3418)

Thrown an exception if changing the pk after the object creation./Add methods to RealmQuery to support byte arrays (#3285)/"
,,Realm,"Disallow changing PK after object created (#3418)

Thrown an exception if changing the pk after the object creation./"
,,Realm,"Add isManaged() to RealmObject/RealmCollection (#3341)

* isValid() returns true for unmanaged object and collection.
* Add isManaged() to RealmObject and RealmCollection/"
,,Realm,"Add RealmFileException

to replace RealmIOException and IncompatibleLockFileException. Also it
is mapped to the same name exception in ObjectStore to give user a
detailed kind of file exception./"
Feature migration,Feature migration,Realm,"Upgrade to beta-33 / 2.0.0-rc4 (#90)/RealmLog (#3368)

Moved RealmLog to the public API. Routes all log events through it, also from native code./Fix notification tests for following changes (#3301)

* Fix notification tests for following changes

To support multiprocess & OS notifications, a dedicated thread will
monitor the Realm changes and send notifications to other thread. This
means our tests cannot assume notifications will be sent for every
transaction commit.

Also, the Realm.handler will moved to a lower layer, it's better to not
rely on it in the test as well.

To avoid a massive PR, tests changes are made separately first./"
API Management,API Management,Realm,Public Sync API (#73)/
,,Realm,"Use CheckedRow when creating a DynamicRealm Object. (#3551)

And this removes a check of UncheckedRow in some constructors of DynamicRealmObject since CheckedRow is never passed to it./Add cause to RealmMigrationNeededException (#3482)/Make BaseRealm package protected again (#143)

and move SyncObjectServerFacade to internal/objectserver./Merge branch 'master' into cm/merge-globalinit-from-master

Allow to specify default value of the field in model's constructor (#3397)

* Allow to call its accessors, and replace its field accesses with accessor calls in model's constructor.

fixes #777
fixes #2536

* use field instead of checking transaction

* fix a bug that acceptDefaultValue is not set correctly

* reject default values when the getter of a model creates other model object

* add simple test for default value

* supports default value of model field

* supports default value of RealmList fields

* add tests for assignment in constructor and setter in constructor

* update javadoc comments of createObject

* always ignores the default value of primary key if the object is managed

* update javadoc

* add a test for default values handling in copyToRealm(). the last assertion of RealmTests.copyToRealm_defaultValuesAreIgnored() is failing now.

* refactor tests

* use isPrimaryKey()

* fix a bug that unexpected realm object is created by default value of RealmModel/RealmList fields

* remove extra ';' from generated code

* add more tests for default value

* fix tests

* fix a bug that creates unexpected objects

* rename internal methods

* update changelog

* update CHANGELOG

* review comments

* update CHANGELOG

* added a description of how proxy object should be created in the Javadoc comment of RealmProcessor/Supporting both additive and manual schema modes (#91)

* Adding very thin wrappers for Object Store's ObjectSchema and Property.
* Adding method for building object schema is proxy classes
* Adding rudimentary support for Object Store schemas. Using ObjectStore::update_schema() to update schema for the additive mode.
* Disallowing destructive schema changes in additive mode./Invalidate schema cache when the schema version of Realm is changed by other process (#3409).

invalidate schema cache when the schema version of Realm is changed by other process.

Now schema cache referred by Realm instance is not shared and global schema cache is introduced instead./Integrate Object Store [PART4] - OS notifications (#3370)

* Use OS's notification mechanism to notify threads.
* Create RealmNotificer interface for decouple Android related handler
  logic.
* Create AndroidNotifier for the handler notifications.

The major change of this PR is about the timing. The notifications are
not sent immediately after transaction committed. Instead, there is a
dedicated thread monitoring changes and notify others when changes
happen.

The known problem is for every RealmConfiguration, a monitor thread will
be created which is not ideal for app which is using multiple
RealmConfiguration.

There are different implementations for the monitoring thread in OS. For
Android, we can choose from generic which is based on the core's
wait_for_change() and android which is used by dotnet based on the
named pipe.
To align with dotnet, we are using the named pipe for now which also
enables notifications between realm-java and realm-dotnet./Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./Wait all async tasks done before next test (#3319)

This is highly related with #1900.
Below things are still guaranteed by this change after commit async
transaction:
* When callback function called (onSuccess/onError), the background
  Realm is closed.
* When any change listeners called, the background Realm is closed.

What is true now but it is not guaranteed in the future:
* Background Realm might not be closed before REALM_CHANGED sent (not
  received).

Due to this, to avoid the flaky tests, we have to ensure all async tasks
quit peacefully before start the next test. This is implemented by wait
and check in the TestRealmConfigurationFactory.

NOTE: Any test, if the async tasks cannot be finished peacefully in a
certain time, it has to be considered as a problem and fixed.

This would be needed by OS notifications since Java won't have a precise
control of sending REALM_CHANGED anymore./"
,,Realm,Updated changelog; combined duplicate implementations for both .first and .last/Add ability for first and last methods to return a default/
,,Realm,"SyncConfiguration Builder now only contains allowed options (#87)/Remove deprecated constructor + add directory() (#3357)

This commit simplifies the RealmConfiguration constructors and also ensures that we always have an Android context. 

It does so by now only having the`RealmConfiguration.Builder(context)` constructor. Custom file locations are now supported through the `directory()` builder method. This also made it possible to simply `assetFile(Context, location)` to only `assetFile(location)`.

Having the Context means that we are now able to access system services and other framework classes without exposing any Android functionality in any potential interface (which will be needed to support Realm on the JVM)./Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./"
,,Realm,"Fix unit tests./fix merge mistakes/Supporting both additive and manual schema modes (#91)

* Adding very thin wrappers for Object Store's ObjectSchema and Property.
* Adding method for building object schema is proxy classes
* Adding rudimentary support for Object Store schemas. Using ObjectStore::update_schema() to update schema for the additive mode.
* Disallowing destructive schema changes in additive mode./Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./improve `Table` and schema cache. (#3315)

* improve `Table` and schema cache./"
,,Realm,"Invalidate schema cache when the schema version of Realm is changed by other process (#3409).

invalidate schema cache when the schema version of Realm is changed by other process.

Now schema cache referred by Realm instance is not shared and global schema cache is introduced instead./"
,,Realm,Fix native crash in DynamicRealmObject#setList() (#3550)/
Feature migration,Feature migration,Realm,Upgrade to beta-33 / 2.0.0-rc4 (#90)/
,,Realm,"Use set_string_unique to set primary key (#3488)

* Migrate PK table when get 1st Realm instance
* migratePrimaryKeyTableIfNeeded will be called when the first time
  Realm instance gets opened.
* Get miss-deleted tests case for pk table back.
* Update Object Store/Logout and Userstore (#104)/Invalidate schema cache when the schema version of Realm is changed by other process (#3409).

invalidate schema cache when the schema version of Realm is changed by other process.

Now schema cache referred by Realm instance is not shared and global schema cache is introduced instead./RealmLog (#3368)

Moved RealmLog to the public API. Routes all log events through it, also from native code./"
,,Realm,"Use CheckedRow when creating a DynamicRealm Object. (#3551)

And this removes a check of UncheckedRow in some constructors of DynamicRealmObject since CheckedRow is never passed to it./Sync facade to make spliting lib possible (#116)

* Sync facade to make spliting lib possible

* Add class SyncObjectServerFacade which will only exist in the sync
  lib.
* Check if SyncObjectServerFacade exists and create an singleton
  instance.
* Empty implementations for base ObjectServerFacade.
* Add RealmConfiguration.isSyncConfiguration to make the checks faster.
* Other cleanups.

Close #112/Supporting both additive and manual schema modes (#91)

* Adding very thin wrappers for Object Store's ObjectSchema and Property.
* Adding method for building object schema is proxy classes
* Adding rudimentary support for Object Store schemas. Using ObjectStore::update_schema() to update schema for the additive mode.
* Disallowing destructive schema changes in additive mode./Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./getFieldIndex returns null for non-existing field (#3295)

Close #3292/"
,,Realm,"Update core to 2.0.0-rc4 (#3384)

* And with some code cleanup.
* Throw an runtime exception when input java bytes array cannot be read.
* Update Object Store to solve the breaking change caused failure.
   See https://github.com/realm/realm-object-store//158
* Use '-O2' instead '-Os' since it seems a gcc bug hangs encryption releated
   tests with '-Os' enabled in JNI build./Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./Add methods to RealmQuery to support byte arrays (#3285)/"
API Management,API Management,Realm,"Disallow changing PK after object created (#3418)

Thrown an exception if changing the pk after the object creation./Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./"
Feature migration,Feature migration,Realm,"allow to put Realm database file on external storage. (#3591)

* set the path of the directory of named pipes to fix #3140

* update CHANGELOG

* add a test for issue3140

* update test

* follow the chenges in object-store

* skip an external storage test on the device where SELinux is not enforced

* rename test

* rename variable

* update object-store

* make SharedRealm#temporaryDirectory volatile

* address findbugs error/Fixed bug in path when getting access tokens for Realms (#157)/Add cause to RealmMigrationNeededException (#3482)/Introduce global init (#3457)

Realm now uses a global init function instead of Context on the RealmConfiguration.Builder/fix merge mistakes/Merge branch 'master' into master-sync
Supporting both additive and manual schema modes (#91)

* Adding very thin wrappers for Object Store's ObjectSchema and Property.
* Adding method for building object schema is proxy classes
* Adding rudimentary support for Object Store schemas. Using ObjectStore::update_schema() to update schema for the additive mode.
* Disallowing destructive schema changes in additive mode./Upgrade to beta-33 / 2.0.0-rc4 (#90)/Invalidate schema cache when the schema version of Realm is changed by other process (#3409).

invalidate schema cache when the schema version of Realm is changed by other process.

Now schema cache referred by Realm instance is not shared and global schema cache is introduced instead./Public Sync API (#73)/Integrate Object Store [PART2] - SharedRealm (#3031)

This simplified our code base a lot. Basically all APIs we need from
SharedGroup/Group are wrapped in the SharedRealm. So we can just remove
those classes.

But we do need a few APIs from SharedGroup which is not supplied by
SharedRealm because of async queries. Currently we expose those in a
friend class of ShareRealm, see realm/realm-object-store#141

We are still managing Realm caches in Java although there are mechanism
in OS to do the same thing. The major reason is we have method like
deleteRealm needs information from cache to check if all Realm instances
are closed. The ShareRealm is actually a std::shared_ptr. We hold
the pointer to the std::shared_ptr in Java.
Another fundamental change is that we used to have separated
SharedGroups for DynamicRealm and typed Realm in the same thread. But
now they are using different SharedRealm but actually the different
SharedRealms are point to the same SharedGroup.

And some other code cleanup./Wait all async tasks done before next test (#3319)

This is highly related with #1900.
Below things are still guaranteed by this change after commit async
transaction:
* When callback function called (onSuccess/onError), the background
  Realm is closed.
* When any change listeners called, the background Realm is closed.

What is true now but it is not guaranteed in the future:
* Background Realm might not be closed before REALM_CHANGED sent (not
  received).

Due to this, to avoid the flaky tests, we have to ensure all async tasks
quit peacefully before start the next test. This is implemented by wait
and check in the TestRealmConfigurationFactory.

NOTE: Any test, if the async tasks cannot be finished peacefully in a
certain time, it has to be considered as a problem and fixed.

This would be needed by OS notifications since Java won't have a precise
control of sending REALM_CHANGED anymore./"
,,Realm,Updated changelog; combined duplicate implementations for both .first and .last/
,,Realm,Static native method needs jclass (#3276)/
,,Realm,"Nh/fix 3966 (#3979)

Realm migration is triggered, when the primary key definition is altered (#3966)/Fixed a bug that caused unexpected MigrationNeededException in very rare case. (#3768)

In sync mode, `validateTable()` must get all fields in the tabla./"
Data conversion,Data conversion,PlJava,"Testcase covering bug #1317   ,  Rewrite of the type mapping system   ,  "
Data conversion,Data conversion,PlJava,"Don't type parameters the same way as returns

What the TypeMapper was doing was correct for a function return value,
matching the return value to the narrowest mapped type that the actual
return value could be assigned to.

It was not correct for a function parameter, which needs to be matched
to the widest mapped type that could be assigned to the parameter.

Jens, if you ever read this, forgive me. At least I caught it quickly.   ,  Snippet implicitly requires its implementor-name.

That way, a snippet that will test some condition and enable that
implementor-name at install time can be declared to provide it, and
be emitted earlier. However, not to insist on supplying a snippet
that explicitly provides every implementor name ... some could just
be selected by the user with SET LOCAL pljava.implementors TO ...
before installing. So the implicit requirement will be counted in
indegree initially, to delay such a snippet as far as practical, but
only until a cycle-breaker releases it when no other progress can
be made.   ,  SQL generator now reports require cycles usefully.

Should have done that all along.   ,  Now Snippet can carry implementor-name.

Nothing sets it yet, but it now defaults to PostgreSQL for everything, in
recognition of the fact that hardly any of the PG SQL code that gets
generated here will be in the exact ISO-prescribed syntax of the exact
five allowed, unadorned SQL statements.

Yes, that makes DDR files bigger. The zip format will compress them well.   ,  Changes are required because of move of GETSTRUCT() and timeout
handling framework changes done in PG 9.3. Along with that I fixes
minor issue in DDRProcessor.java that is causing ""illegal start of
expression"" error. Maven did not worked for me to build it and hang
endlessly while building c source code (pljava-so). As a workaround I
temporarily fixed makefiles to test PG9.3 related fix that seems
worked and generated pljava.jar and pljava.so files and their basic
sanity seems working fine.   ,  Add a class annotation to make a base/scalar UDT.

- Add the annotation, have DDRProcessor recognize it.
- Check the annotated class for the required properties and members.
- The snippets map formerly allowed only one type of annotation on
  a given element. That happened to work, but not now when a class
  could have both a UDT and a SQLAction annotation, for example.
  Adapt the map to key by element and snippet class, so snippets
  of different classes can be hung on an element and selectively
  retrieved.
- An old comment in populateAnnotationImpl suggested it would reduce
  boilerplate setter code if, failing to find a setter method, the
  field itself could be reflectively looked up and stored. That's done
  now, so setter methods are needed only when something more special
  has to be done.
- Function declarations will be synthesized automagically for the four
  mandatory (in, out, recv, send) methods, but to allow their properties
  to be individually adjusted, they can still accept Function
  annotations. That's done by hanging a new subclass of FunctionImpl on
  those elements, that generates the right special form of declaration,
  and has setters that refuse changes to certain properties where that
  wouldn't make sense.
- Treat the default implementor-tag (PostgreSQL if not changed with new
  ddr.implementor command line property) specially. Now that everything
  is getting wrapped with an implementor tag by default, the implied
  requires=""implementor-tag"" was holding everything back until released
  by the cycle-breaker, sometimes in puzzling order. The implementor tag
  that happens to be the default one should /not/ be treated as a
  pending requirement.
- Move ComplexScalar to annotation subpackage, in preparation for
  revamping it as an annotation example. So git won't lose track of it,
  this is a breaking change, to be fixed in the next commit with edits
  corresponding to the move.   ,  Conform to BaseUDT rename, add MappedUDT.

Supporting MappedUDT is much simpler. It emits a
CREATE TYPE foo AS ( ... structure ... )
if a structure is provided, or not, if it isn't, followed by a
SELECT sqlj.add_type_mapping( ... ), and that's it.

Much javadoc also added.

This commit ends with pure renames of the Point and ComplexTuple
examples in preparation to make them annotation examples ... breaking
compilation until they are fixed up in the next commit, but git can
see where they went.   ,  Workaround the problem reported in #39.

The annotation processor in javac runs in multiple 'rounds', as long as
generated source files keep appearing, and one final round after they
don't. This code used to save some mapping of Class objects to the
javax.lang.model objects (TypeElement/TypeMirror) until the final round,
which worked in Java 6, but as of 7 one gets back different model objects
in different rounds, for the same types, and they don't match, so type
mapping breaks.

This workaround moves all those lookups to before or during round 1, when
a consistent set of model objects can be looked up. So, it will work as
long as all the source files that might contain pljava annotations will be
found in round 1. That should always be the case unless someone is using a
very fancy build with _other_ annotation processors generating new source
files with pljava annotations that have to be processed in additional
rounds. For now, that won't work, because their types won't seem to match
what was computed in round 1. So don't do that.

http://bugs.java.com/bugdatabase/view_bug.do?bug_id=8038455 might refer
to this problem, and promises a fix in Java 9, for what it's worth.   ,  Update annotation-driven SQL generation to Java 6.

Remove the dependency on org.objectweb.asm in favor of the
annotation processing facilities now built in to javac as of
Java 6. Add annotations to override the auto-determined type
for function parameters and/or supply default values, and to
supply arbitrary SQL commands to be included in the generated
deployment descriptor.   ,  "
,,PlJava,"Starting javadoc tweaks, some lexical definitions.   ,  "
,,PlJava,"(Unbreaking) complete the ComplexScalar rename.

Make the ComplexScalar example an annotation example, and remove the
corresponding code from the hand-maintained examples.ddr.   ,  Change annotation keywords discussed on -dev.

@Function(type=  ->  effects=
@Function(complexType= -> type=
@Function(trust=RESTRICTED|UNRESTRICTED -> SANDBOXED|UNSANDBOXED

@Trigger(when= -> called=
@Trigger(when='a boolean condition' new tracks PG9.0+

Also added called=INSTEAD_OF and columns={} to track PG.
That is, the SQL generator can recognize them and generate
the DDR; nothing is changed in PL/Java runtime yet.   ,  "
,,PlJava,"Conform to Point/ComplexTuple renames.

Completes the work on MappedUDT, with Point and ComplexTuple now
annotation examples, and the corresponding code removed from the
old hand-maintained examples.ddr.

In a couple last this-really-has-to-be-it review passes...

- some msg() calls had the Element parameter in the wrong place (and,
  being variadic and expecting extra parameters, didn't warn about it).
- whether to include length/alignment/storage in the output when 'like'
  is used should explicitly depend on whether they were set explicitly
  (is that explicit enough?); otherwise, in some cases it wouldn't be
  possible to override the values copied by like.
- removed a goofy constant in the VarlenaUDTTest left over from very
  early sanity checking.
- Shortened unnecessary full-qualification on some enums actually in
  scope.   ,  ComplexTuple.logAndReturn needs IMMUTABLE.

That's how it was declared in the hand-maintained examples.ddr, and
letting it default to VOLATILE makes it produce TupleDesc reference
leak warnings for some reason, so I've added IMMUTABLE to the annotation.

At the same time, onNullInput=RETURNS_NULL is clearly needed, just by
glancing at the function, which does no null checking. That's also true
of Point, so that's added both places. This demonstrates an advantage of
the SQL generation ... the place where you put the annotation is exactly
where you're looking when you're looking at the code.   ,  Change annotation keywords discussed on -dev.

@Function(type=  ->  effects=
@Function(complexType= -> type=
@Function(trust=RESTRICTED|UNRESTRICTED -> SANDBOXED|UNSANDBOXED

@Trigger(when= -> called=
@Trigger(when='a boolean condition' new tracks PG9.0+

Also added called=INSTEAD_OF and columns={} to track PG.
That is, the SQL generator can recognize them and generate
the DDR; nothing is changed in PL/Java runtime yet.   ,  "
,,PlJava,"Conditional DDR as proposed on pljava-dev.

Delayed by a nice pljava trivia brain teaser ... IF a function's
SQL declaration says it's immutable (or even stable, I guess), AND
you call it from the deployment descriptor install commands of the
jar that contains it, AND that's the first reference you've made to
its containing class ... ClassNotFoundException. Go ahead, explain THAT
one to Aunt Tillie.... (Hint: SPI change visibility rules.)   ,  "
,,PlJava,"Add testcase with enum parameter and return types.

Issue #4 causes these to fail.   ,  Change annotation keywords discussed on -dev.

@Function(type=  ->  effects=
@Function(complexType= -> type=
@Function(trust=RESTRICTED|UNRESTRICTED -> SANDBOXED|UNSANDBOXED

@Trigger(when= -> called=
@Trigger(when='a boolean condition' new tracks PG9.0+

Also added called=INSTEAD_OF and columns={} to track PG.
That is, the SQL generator can recognize them and generate
the DDR; nothing is changed in PL/Java runtime yet.   ,  "
